BLOCK,DISTRICT,State_Name,year,month,RF_average,GWL_average,fid,fclayey_sum,sandy_sum,clayskeletal_sum,floamy_sum,sand_pct,floamy_pct,f_clayey_pct,t2m_value,tp_value,swvl1_value,swvl2_value,sro_value,ssro_value,e_value,pev_value
Baraut,Baghpat,UP,2024.0,6.0,0.0,-20.42636666241667,2,0,14929,0,55923.0,0.0062701495052708,0.0234875457688567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baraut,Baghpat,UP,2024.0,7.0,0.0,-18.425927454274195,2,0,14929,0,55923.0,0.0062701495052708,0.0234875457688567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baraut,Baghpat,UP,2024.0,8.0,0.0,-17.372749990241935,2,0,14929,0,55923.0,0.0062701495052708,0.0234875457688567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baraut,Baghpat,UP,2024.0,9.0,0.0,-17.355941709249997,2,0,14929,0,55923.0,0.0062701495052708,0.0234875457688567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baraut,Baghpat,UP,2024.0,10.0,0.0,-17.562532301612904,2,0,14929,0,55923.0,0.0062701495052708,0.0234875457688567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baraut,Baghpat,UP,2024.0,11.0,0.0,-17.907109203613444,2,0,14929,0,55923.0,0.0062701495052708,0.0234875457688567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baraut,Baghpat,UP,2024.0,12.0,0.0,-16.825637063951614,2,0,14929,0,55923.0,0.0062701495052708,0.0234875457688567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baraut,Baghpat,UP,2025.0,1.0,0.0,-16.442000387500002,2,0,14929,0,55923.0,0.0062701495052708,0.0234875457688567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2019.0,7.0,10.342857142857142,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2019.0,8.0,7.283870967741936,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2019.0,9.0,0.4,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2019.0,10.0,0.0,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2019.0,11.0,0.0,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2019.0,12.0,0.15483870967741936,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2020.0,1.0,2.756666666666667,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2020.0,2.0,0.5551724137931034,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2020.0,3.0,4.3,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaghara,Muzaffarnagar,UP,2020.0,6.0,2.6199999999999997,0.0,26,0,0,0,73958.0,0.0,0.0357310968293408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
